Palas,Precio,Marca,Color,Producto,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Acabado,Forma,Superficie,Tipo de Juego,Jugador
STARVIE DRONOS ULTRA SPEED SOFT 2024,"149,95 €",No data,No data,No data,medio,ultrasoft eva,No data,blanda,principiante / intermedio,No data,lágrima,rugosa,polivalente,hombre
VIBOR-A YARARA XTREME 3K 2024,"147,95 €",vibor-a,No data,No data,medio,eva,No data,media,avanzado / competición,No data,No data,rugosa,polivalente,hombre
ADIDAS ADIPOWER CTRL 3.3,"190,95 €",adidas,"negro, naranja",palas,bajo,soft eva,No data,blanda,avanzado / competición,No data,redonda,rugosa,control,hombre
ADIDAS ADIPOWER TEAM LIGHT 3.3,"111,95 €",adidas,"blanco, verde",palas,bajo,soft eva,fibra de vidrio,blanda,avanzado / competición,No data,redonda,No data,control,hombre
ADIDAS ADIPOWER MULTIWEIGHT 3.3,"256,95 €",adidas,negro,palas,alto,eva,No data,media,avanzado / competición,"mate, relieve 3d",diamante,rugosa,control,hombre
BULLPADEL IONIC CONTROL 2024,"122,95 €",bullpadel,"amarillo, naranja, plateado",palas,bajo,multieva,No data,media,principiante / intermedio,No data,redonda,lisa,control,hombre
BABOLAT COUNTER VERON 2024,"191,95 €",babolat,"negro, amarillo",palas,alto,multieva,"carbono, fibra de vidrio",media,principiante / intermedio,No data,No data,rugosa,polivalente,hombre
SIUX GENESIS HYBRID 12K,"299,00 €",siux,"negro, rojo",palas,medio,eva,No data,No data,avanzado / competición,No data,No data,rugosa,polivalente,hombre
DUNLOP INFERNO CARBON EXTREME,"127,95 €",dunlop,"negro, naranja",palas,medio,eva,No data,dura,profesional,mate,No data,rugosa,polivalente,hombre
BABOLAT TECHNICAL VIPER 2024,"255,95 €",babolat,marrón,palas,alto,multieva,No data,media,avanzado / competición,No data,diamante,rugosa,potencia,hombre
DUNLOP TITAN PRO GOLD 2024,"94,95 €",dunlop,gris,palas,medio,No data,fibra de vidrio,media,avanzado / competición,mate,No data,lisa,polivalente,hombre
STARVIE CORVUS COLUMNS,"101,95 €",No data,negro,palas,alto,soft eva,No data,blanda,avanzado / competición,mate,lágrima,lisa,potencia,hombre
VAIRO COLUMNS ULTRA,"229,95 €",No data,negro,palas,medio,eva,No data,media,avanzado / competición,mate,No data,lisa,polivalente,"hombre, mujer"
STARVIE VESTA 2024,"88,95 €",No data,"negro, azul",No data,medio,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,redonda,No data,control,hombre
STARVIE ECLIPTA 2024,"99,95 €",No data,"negro, blanco, morado",No data,bajo,supersoft eva,fibra de vidrio,blanda,principiante / intermedio,mate,redonda,lisa,control,"hombre, mujer"
VIBOR-A NAYA XTREME FIBER 2024,"111,95 €",vibor-a,blanco,No data,medio,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,lágrima,rugosa,polivalente,"hombre, mujer"
BLACK CROWN SPECIAL PRO,"264,95 €",black crown,No data,palas,medio,eva,No data,media,avanzado / competición,No data,lágrima,rugosa,polivalente,hombre
SOFTEE IMPERIUM 2024,"51,95 €",softee,negro,No data,medio,eva,fibra de vidrio,media,principiante / intermedio,No data,No data,rugosa,polivalente,hombre
SIUX TITANIA LADY 2.0,"79,00 €",siux,negro,palas,medio,eva,fibra de vidrio,media,profesional,No data,redonda,lisa,polivalente,mujer
BLACK CROWN SPECIAL MASTER,"224,95 €",black crown,azul,palas,medio,black eva,"carbono 12k, fibra de vidrio",media,avanzado / competición,No data,lágrima,No data,polivalente,hombre
STAR VIE KRAKEN SOFT,"125,95 €",No data,"negro, verde",palas,medio,soft eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
SALMING HERO S21 ATTACK,"114,95 €",No data,"negro, blanco",palas,alto,medium eva,No data,No data,avanzado / competición,mate,diamante,lisa,No data,"hombre, mujer"
ENEBE CROSS,"70,95 €",enebe,"amarillo, gris",palas,bajo,ultrasoft eva,fibra de vidrio,No data,avanzado / competición,No data,redonda,lisa,No data,"hombre, mujer"
VIDAR OF BASTAD CC ELITE,"209,95 €",No data,"negro, gris",palas,"alto, medio",medium eva,No data,No data,avanzado / competición,mate,lágrima,lisa,No data,"hombre, mujer"
SALMING HERO S19 TECH,"94,95 €",No data,"negro, rosa",palas,"alto, medio",medium eva,No data,No data,avanzado / competición,mate,No data,lisa,No data,mujer
ENEBE AEROX PRO CARBON ROJO,"124,95 €",enebe,"negro, naranja",palas,alto,eva,No data,No data,avanzado / competición,mate,lágrima,lisa,potencia,hombre
PALA BEACH TENNIS ADIDAS METALBONE 3.2 H31 NEGRO AZUL,"149,95 €",adidas,"negro, azul",palas,medio,eva,No data,media,principiante / intermedio,mate,lágrima,lisa,potencia,"hombre, mujer"
DUNLOP ROCKET TOUR ROJO,"55,95 €",dunlop,"negro, rojo",palas,medio,eva,fibra de vidrio,media,principiante / intermedio,mate,redonda,lisa,control,hombre
VAIRO ACROSS PINK,"64,95 €",No data,"negro, blanco, rosa",palas,medio,eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,polivalente,mujer
PRINCE ROCKET TATTO,"149,95 €",prince,"negro, blanco, rojo",palas,medio,eva,No data,No data,principiante / intermedio,mate,redonda,rugosa,polivalente,hombre
DUNLOP BOOST ATTACK 2.0,"97,95 €",dunlop,verde,palas,medio,soft eva,fibra de vidrio,blanda,principiante / intermedio,mate,lágrima,rugosa,polivalente,"hombre, mujer"
BLACK CROWN PITON PREMIUM 2024,"165,95 €",black crown,"negro, naranja",No data,medio,soft eva,No data,blanda,avanzado / competición,No data,redonda,rugosa,polivalente,hombre
STARVIE ARCADIA 2024,"66,95 €",No data,"naranja, azul",No data,bajo,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,redonda,No data,polivalente,"hombre, mujer"
STARVIE TITANIA SOFT 2024,"121,95 €",No data,"negro, rojo",No data,medio,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,redonda,rugosa,polivalente,hombre
STARVIE KENTA ETERNAL PRO 2024,"184,95 €",No data,"negro, gold",No data,bajo,medium eva,No data,media,avanzado / competición,No data,redonda,rugosa,control,hombre
ENEBE SUPRA 3K 2024,"183,95 €",enebe,"negro, naranja",No data,medio,black eva,No data,media,avanzado / competición,mate,lágrima,lisa,polivalente,hombre
VIBOR-A RUSSELL CLASSIC FIBER 2024,"87,95 €",vibor-a,No data,No data,medio,soft eva,fibra de vidrio,blanda,principiante / intermedio,mate,No data,lisa,polivalente,"hombre, mujer"
SOFTEE RUNA BLUE HYBRID,"139,95 €",softee,azul,palas,medio,soft eva,No data,blanda,avanzado / competición,No data,No data,lisa,polivalente,hombre
SOFTEE RAZE EVOLUTION GREEN CARBONO,"75,95 €",softee,negro,No data,medio,soft eva,No data,blanda,principiante / intermedio,mate,No data,lisa,polivalente,hombre
SOFTEE RANGER ORANGE 2024,"59,95 €",softee,negro,palas,medio,soft eva,fibra de vidrio,media,principiante / intermedio,No data,diamante,rugosa,potencia,hombre
SOFTEE RUNA RED HYBRID 2024,"139,95 €",softee,negro,No data,medio,soft eva,No data,blanda,principiante / intermedio,No data,No data,lisa,polivalente,hombre
BULLPADEL X-COMPACT 2 LTD GREEN,"64,95 €",bullpadel,"negro, verde",palas,bajo,soft eva,fibra de vidrio,No data,avanzado / competición,mate,redonda,lisa,No data,"hombre, mujer"
DUNLOP PDL SPACE ELITE G1 HL,"95,95 €",dunlop,naranja,palas,alto,No data,No data,media,avanzado / competición,mate,diamante,lisa,potencia,hombre
BULLPADEL KITTER AZUL,"54,95 €",bullpadel,"negro, gris",palas,alto,black eva,No data,No data,avanzado / competición,No data,diamante,rugosa,No data,"hombre, mujer"
BULLPADEL VERTEX XSERIES,"108,95 €",bullpadel,"negro, azul",palas,alto,soft eva,fibra de vidrio,media,principiante / intermedio,mate,lágrima,lisa,control,"hombre, mujer"
NOX AT10 GENIUS 18K BLACK BY AGUSTIN TAPIA,"179,95 €",nox,rojo,palas,medio,black eva hr3,No data,dura,avanzado / competición,mate,lágrima,rugosa,polivalente,hombre
SIUX PLATINUM REVOLUTION 24K,"89,95 €",siux,"negro, naranja",palas,medio,ultrasoft eva,No data,No data,avanzado / competición,mate,lágrima,lisa,No data,"hombre, mujer"
BULLPADEL ELITE W MUJER 2023,"114,95 €",bullpadel,"negro, plateado",palas,medio,eva,"carbono, fibra de vidrio",No data,avanzado / competición,mate,lágrima,lisa,polivalente,mujer
NOX SHADOW CONTROL FIBER,"79,95 €",nox,"negro, verde",palas,medio,hard eva,No data,No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
DUNLOP RENEGADE,"49,95 €",dunlop,"negro, amarillo, gris",palas,bajo,soft eva,No data,No data,principiante / intermedio,mate,redonda,lisa,No data,"hombre, mujer"
BULLPADEL LEGEND 3.0,"69,95 €",bullpadel,"negro, azul",palas,bajo,soft eva,fibra de vidrio,No data,avanzado / competición,mate,redonda,lisa,No data,"hombre, mujer"
BULLPADEL RAIDER PWR,"49,95 €",bullpadel,"negro, verde",palas,alto,soft eva,fibra de vidrio,No data,principiante / intermedio,mate,diamante,lisa,No data,"hombre, mujer"
ADIDAS METALBONE W TEAM MUJER 2023,"105,95 €",adidas,"negro, blanco, azul",palas,alto,soft eva,fibra de vidrio,No data,profesional,No data,diamante,rugosa,potencia,mujer
BABOLAT COUNTER VIPER 2023,"152,95 €",babolat,"negro, amarillo",palas,medio,eva,No data,No data,avanzado / competición,mate,redonda,rugosa,polivalente,"hombre, mujer"
NOX AT10 GENIUS 18K GLOSS BY AGUSTIN TAPIA EX,"149,95 €",nox,No data,No data,medio,black eva hr3,No data,media,avanzado / competición,No data,lágrima,No data,polivalente,hombre
WILSON BELA JUNIOR,"44,95 €",wilson,"negro, rojo",palas,alto,eva,fibra de vidrio,No data,avanzado / competición,No data,diamante,rugosa,potencia,junior
WILSON BELA TEAM V2 ROJO,"109,95 €",wilson,rojo,palas,alto,eva,fibra de vidrio,No data,avanzado / competición,No data,diamante,rugosa,potencia,"hombre, mujer"
NOX ML10 BAHIA LUXURY SERIES 23,"109,95 €",nox,"negro, rojo",palas,medio,eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,polivalente,"hombre, mujer"
BABOLAT VIPER CARBON VICTORY BARCELONA,"144,95 €",babolat,"gold, azul",palas,alto,black eva,No data,No data,avanzado / competición,No data,diamante,rugosa,potencia,hombre
WILSON CUPRA PADEL,"104,95 €",wilson,No data,palas,medio,soft eva,No data,blanda,profesional,No data,diamante,rugosa,polivalente,hombre
NOX AT GENIUS ATTACK 18K 2022,"127,95 €",nox,No data,palas,"alto, medio",medium eva,No data,No data,avanzado / competición,No data,diamante,rugosa,No data,hombre
BULLPADEL X-COMPACT 2 LTD NARANJA,"39,95 €",bullpadel,"negro, naranja",palas,bajo,soft eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,No data,"hombre, mujer"
BULLPADEL FLOW W MUJER 2023,"84,95 €",bullpadel,"blanco, rosa",palas,medio,eva,"carbono, fibra de vidrio",No data,avanzado / competición,mate,diamante,rugosa,polivalente,mujer
DUNLOP SAMURAI SOFT,"49,95 €",dunlop,"negro, gris, rojo",palas,medio,soft eva,No data,No data,principiante / intermedio,mate,lágrima,lisa,No data,"hombre, mujer"
PALA SIUX CAYMAN,"59,95 €",siux,"negro, naranja, plateado",palas,medio,soft eva,No data,No data,principiante / intermedio,No data,No data,rugosa,polivalente,hombre
DUNLOP IMPACT PRO HL PINK,"59,95 €",dunlop,"negro, azul, rosa",palas,medio,medium eva,fibra de vidrio,media,avanzado / competición,mate,No data,rugosa,polivalente,"hombre, mujer"
BULLPADEL ELITE LIGHT FIP,"99,95 €",bullpadel,No data,palas,medio,multieva,No data,media,avanzado / competición,No data,lágrima,rugosa,polivalente,mujer
SOFTEE FREEZER CARBON BLUE 2024,"123,95 €",softee,negro,palas,medio,eva,No data,media,principiante / intermedio,No data,lágrima,No data,polivalente,hombre
SOFTEE RAZE EVOLUTION ORANGE CARBONO,"69,95 €",softee,negro,No data,medio,soft eva,No data,blanda,principiante / intermedio,No data,redonda,lisa,polivalente,hombre
RS PADEL COBRA EDITION LIMA MUJER,"79,95 €",No data,"negro, lima",palas,bajo,black eva,fibra de vidrio,No data,principiante / intermedio,No data,redonda,rugosa,No data,mujer
SOFTEE RANGER RED JUNIOR,"43,95 €",softee,No data,No data,medio,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,diamante,rugosa,polivalente,junior
SOFTEE K3 TOUR 7.0,"144,95 €",softee,"negro, amarillo",palas,alto,soft eva,No data,No data,avanzado / competición,No data,redonda,lisa,No data,"hombre, mujer"
J.HAYBER WARRIOR FIT,"51,95 €",No data,"azul, lima",palas,medio,soft eva,fibra de vidrio,No data,avanzado / competición,No data,redonda,lisa,No data,"hombre, mujer"
BULLPADEL AXYM DB 2023,"89,95 €",bullpadel,"negro, verde",palas,medio,eva,fibra de vidrio,No data,avanzado / competición,No data,lágrima,rugosa,polivalente,hombre
STAR VIE RAPTOR MASTER FINAL,"179,00 €",No data,blanco,palas,medio,soft eva,No data,media,avanzado / competición,No data,redonda,rugosa,polivalente,hombre
DUNLOP BLITZ ATTACK 2.0,"103,95 €",dunlop,naranja,palas,bajo,eva,No data,media,avanzado / competición,mate,redonda,rugosa,control,hombre
SOFTEE BEACH TENNIS FISTERRA,"232,95 €",No data,negro,palas,medio,eva,No data,media,avanzado / competición,No data,redonda,rugosa,control,"hombre, mujer"
VAIRO COMPACT SIGNATURE,"209,95 €",softee,"negro, blanco",palas,No data,eva,No data,media,profesional,No data,No data,rugosa,No data,hombre
BLACK CROWN PITON 12 SILVER 2024,"160,95 €",black crown,"negro, azul marino",No data,medio,soft eva,No data,blanda,avanzado / competición,No data,redonda,rugosa,polivalente,hombre
SIUX ELECTRA ST3 GO,"189,00 €",siux,No data,palas,medio,hard eva,No data,media,principiante / intermedio,No data,No data,rugosa,polivalente,"hombre, mujer"
MYSTICA LEGACY HYBRID YELLOW 2024,"62,95 €",No data,"negro, amarillo",palas,medio,eva,fibra de vidrio,media,principiante / intermedio,mate,No data,lisa,polivalente,"hombre, mujer"
ENEBE ARROW BLUE 2024,"67,95 €",enebe,"negro, azul",No data,alto,ultrasoft eva,fibra de vidrio,blanda,principiante / intermedio,mate,diamante,lisa,potencia,hombre
ENEBE COMBAT CARBON 9.1,"48,95 €",No data,No data,palas,medio,eva,fibra de vidrio,media,principiante / intermedio,No data,No data,No data,polivalente,"hombre, mujer"
MYSTICA QUICKSTART HYBRID RED 2024,"109,95 €",enebe,"negro, lima",palas,bajo,ultrasoft eva,No data,No data,avanzado / competición,mate,No data,lisa,No data,"hombre, mujer"
RS COBRA EDITION NEGRO BLANCO,"104,95 €",No data,"negro, blanco",palas,medio,soft eva,fibra de vidrio,No data,principiante / intermedio,No data,redonda,rugosa,No data,"hombre, mujer"
SOFTEE PRO MASTER EVOLUTION AMARILLO,"49,95 €",softee,"negro, amarillo",palas,medio,soft eva,fibra de vidrio,No data,principiante / intermedio,No data,lágrima,rugosa,No data,"hombre, mujer"
SALMING MAGICIAN S17 LTD,"94,95 €",No data,"negro, blanco",palas,medio,soft eva,No data,No data,avanzado / competición,mate,No data,lisa,No data,"hombre, mujer"
VAIRO ACROSS ORANGE SAND FINISH,"64,95 €",No data,"negro, blanco, naranja",palas,bajo,eva,fibra de vidrio,No data,principiante / intermedio,No data,redonda,rugosa,control,"hombre, mujer"
VAIRO ACROSS YELLOW SAND FINISH,"64,95 €",No data,amarillo,palas,bajo,black eva,"carbono, fibra de vidrio",media,principiante / intermedio,No data,redonda,rugosa,control,"hombre, mujer"
VAIRO TURBO COMFORT,"119,95 €",No data,No data,palas,alto,eva,No data,media,avanzado / competición,No data,lágrima,lisa,control,hombre
WILSON PRO STAFF V2 TEAM NEGRO ROJO,"47,95 €",wilson,"negro, rojo",palas,bajo,soft eva,fibra de vidrio,No data,avanzado / competición,mate,redonda,lisa,No data,"hombre, mujer"
RS PADEL PRIME EDITION 2.0 AZUL OSCURO MUJER,"94,95 €",No data,"blanco, azul marino",palas,medio,medium eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,mujer
VARLION LW SUMMUM PRISMA MUJER,"188,95 €",varlion,"negro, azul",palas,medio,hard eva,No data,No data,avanzado / competición,mate,redonda,rugosa,control,"hombre, mujer"
SOFTEE EGON 2024,"29,95 €",softee,negro,No data,"medio, bajo",soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,redonda,lisa,control,hombre
SOFTEE SUMMIT 3.0 YELLOW POWER 2024,"174,95 €",softee,"negro, amarillo",No data,alto,soft eva,No data,blanda,avanzado / competición,No data,No data,rugosa,polivalente,hombre
BLACK CROWN PATRON EVOLUTION 2024,"184,95 €",black crown,No data,palas,medio,No data,No data,dura,avanzado / competición,No data,No data,rugosa,polivalente,hombre
BABOLAT DYNA ENERGY 2023,"191,95 €",babolat,"blanco, rosa",palas,medio,black eva,"carbono, fibra de vidrio",No data,principiante / intermedio,"mate, relieve 3d",lágrima,rugosa,polivalente,mujer
STARVIE ASTRUM 2024,"172,95 €",No data,negro,No data,medio,soft eva,No data,blanda,avanzado / competición,No data,redonda,rugosa,polivalente,hombre
SIUX ELECTRA JR ST3,"69,95 €",siux,negro,palas,bajo,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,No data,lisa,polivalente,junior
SIUX DIABLO REVOLUTION JR 3,"69,95 €",siux,negro,palas,bajo,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,No data,lisa,polivalente,junior
PRINCE TOUR DI LEGEND,"146,95 €",prince,"blanco, verde",palas,medio,black eva,No data,No data,avanzado / competición,No data,diamante,rugosa,No data,"hombre, mujer"
SOFTEE PRO MASTER EVOLUTION NARANJA,"49,95 €",softee,"negro, naranja",palas,medio,soft eva,fibra de vidrio,No data,avanzado / competición,No data,lágrima,lisa,No data,"hombre, mujer"
ENEBE AEROX CARBON 21,"118,95 €",enebe,"negro, azul",palas,medio,soft eva,No data,No data,avanzado / competición,mate,redonda,lisa,No data,hombre
MYSTICA LEGACY HYBRID ORANGE 2024,"62,95 €",No data,"negro, rojo",palas,medio,eva,fibra de vidrio,media,principiante / intermedio,mate,No data,lisa,polivalente,"hombre, mujer"
DROP SHOT CANYON SOFT,"135,95 €",drop shot,"blanco, azul",palas,"alto, medio",soft eva,No data,No data,"avanzado / competición, profesional",No data,lágrima,lisa,No data,"hombre, mujer"
VAIRO ACROSS PINK SAND FINISH,"64,95 €",No data,rosa,palas,bajo,black eva,"carbono, fibra de vidrio",media,principiante / intermedio,No data,redonda,rugosa,control,mujer
VAIRO ACROSS ORANGE,"64,95 €",No data,"negro, blanco, naranja",palas,medio,eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,control,hombre
ENEBE AEROX 7.2 CARBON RELOADED 2024,"151,95 €",enebe,"negro, blanco",No data,medio,black eva,No data,media,principiante / intermedio,No data,lágrima,lisa,polivalente,hombre
ENEBE COMBAT 7.1 RELOADED 2024,"138,95 €",enebe,"negro, blanco, gold",No data,medio,black eva hr3,No data,media,principiante / intermedio,mate,No data,lisa,polivalente,hombre
ENEBE NITRO RED JUNIOR,"55,95 €",enebe,negro,palas,medio,black eva,fibra de vidrio,blanda,principiante / intermedio,No data,redonda,lisa,polivalente,junior
ENEBE RSX 7.1 CARBON RELOADED,"151,95 €",enebe,rosa,palas,medio,black eva hr3,No data,media,avanzado / competición,No data,lágrima,lisa,polivalente,"hombre, mujer"
VAIRO ACROSS YELLOW,"64,95 €",No data,"negro, blanco, amarillo",palas,medio,eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,polivalente,"hombre, mujer"
STARVIE AQUILA PRO 2024,"110,95 €",enebe,"negro, naranja",palas,medio,soft eva,No data,No data,avanzado / competición,mate,lágrima,lisa,No data,"hombre, mujer"
ENEBE SUPRA CARBON 21,"107,95 €",No data,No data,No data,alto,eva,No data,media,avanzado / competición,No data,lágrima,rugosa,polivalente,"hombre, mujer"
SOFTEE SPEED 3.0 ROYAL POWER 2024,"167,95 €",softee,negro,No data,medio,soft eva,No data,blanda,avanzado / competición,No data,lágrima,rugosa,potencia,hombre
DUNLOP AERO-STAR JUNIOR,"45,95 €",dunlop,"negro, marrón",palas,medio,supersoft eva,No data,No data,principiante / intermedio,No data,No data,No data,polivalente,junior
SIUX LIBERTY CONTROL,"99,95 €",siux,No data,palas,bajo,medium eva,No data,media,principiante / intermedio,No data,redonda,rugosa,control,"hombre, mujer"
ENEBE NITRO GREEN JUNIOR 2024,"55,95 €",enebe,negro,No data,medio,black eva,fibra de vidrio,media,principiante / intermedio,mate,redonda,lisa,control,junior
ENEBE NITRO RED 2024,"59,95 €",enebe,negro,No data,medio,black eva,fibra de vidrio,media,principiante / intermedio,mate,redonda,lisa,control,hombre
ENEBE RESPONSE FIBER PURPLE,"95,95 €",enebe,blanco,No data,medio,black eva hr3,fibra de vidrio,media,principiante / intermedio,No data,No data,lisa,polivalente,mujer
STARVIE JUNIOR 2024,"59,95 €",No data,"negro, rojo",No data,bajo,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,redonda,lisa,control,junior
SOFTEE SPEED GOLD POWER 3.0 2024,"179,95 €",softee,"negro, gold",No data,medio,soft eva,No data,media,avanzado / competición,No data,lágrima,rugosa,polivalente,hombre
VIBOR-A BELCHER CLASSIC FIBER 2024,"82,95 €",vibor-a,"negro, azul",No data,medio,eva,fibra de vidrio,blanda,principiante / intermedio,mate,redonda,lisa,control,hombre
STARVIE TITANIA ULTRA SPEED SOFT 2024,"103,95 €",No data,"negro, rojo",No data,medio,ultrasoft eva,fibra de vidrio,blanda,avanzado / competición,No data,redonda,rugosa,control,hombre
STARVIE RADAR 2024,"123,95 €",No data,"negro, gris",No data,medio,ultrasoft eva,fibra de vidrio,blanda,principiante / intermedio,No data,lágrima,lisa,polivalente,hombre
STARVIE HELION 2024,"118,95 €",No data,"negro, naranja",No data,medio,supersoft eva,fibra de vidrio,blanda,principiante / intermedio,mate,redonda,lisa,control,hombre
SOFTEE BLOQUER 2024,"83,95 €",softee,negro,No data,alto,eva,No data,media,principiante / intermedio,No data,No data,lisa,polivalente,hombre
SOFTEE FREEZER CARBON GREEN 2024,"123,95 €",softee,negro,palas,medio,eva,No data,media,principiante / intermedio,No data,lágrima,lisa,polivalente,hombre
STARVIE METHEORA 2024,"169,95 €",No data,"negro, azul",No data,bajo,soft eva,No data,blanda,avanzado / competición,No data,redonda,rugosa,control,hombre
SOFTEE POTENZA RAINBOW BLUE,"95,95 €",softee,No data,No data,medio,soft eva,No data,blanda,principiante / intermedio,mate,lágrima,lisa,polivalente,hombre
ROYAL PADEL M27 LIGHT 2024,"245,95 €",royal padel,rosa,palas,No data,No data,fibra de carbono,blanda,avanzado / competición,No data,redonda,rugosa,control,mujer
ROYAL PADEL R-LINE FURY 2024,"246,95 €",royal padel,rojo,palas,alto,black eva,No data,media,avanzado / competición,No data,redonda,rugosa,polivalente,hombre
STAR VIE ASTRUM PRO,"179,00 €",No data,blanco,palas,medio,eva,No data,dura,avanzado / competición,No data,redonda,rugosa,polivalente,hombre
SIUX ULTRA PRO,"349,00 €",siux,negro,palas,medio,medium eva,No data,media,avanzado / competición,No data,No data,rugosa,polivalente,hombre
SIUX SPYDER LITE CTRL 3 HARD,"229,00 €",siux,"negro, verde",palas,bajo,hard eva,No data,dura,avanzado / competición,No data,redonda,lisa,control,hombre
PRINCE PADEL JET,"211,95 €",prince,"negro, verde",palas,alto,medium eva,No data,No data,avanzado / competición,No data,diamante,rugosa,No data,hombre
SALMING HERO S51 12K,"114,95 €",No data,"negro, blanco",palas,bajo,soft eva,No data,No data,avanzado / competición,mate,redonda,lisa,No data,"hombre, mujer"
SIUX STONE FORCE,"99,00 €",siux,"negro, azul",palas,bajo,soft eva,fibra de vidrio,No data,principiante / intermedio,mate,redonda,lisa,control,"hombre, mujer"
SOFTEE WINNER PRO FUCSIA,"125,95 €",softee,"negro, fucsia",palas,"alto, medio",soft eva,No data,No data,avanzado / competición,No data,lágrima,lisa,No data,"hombre, mujer"
VAIRO ACROSS BLUE SAND FINISH,"125,95 €",enebe,"negro, naranja",palas,medio,eva,No data,No data,principiante / intermedio,mate,lágrima,rugosa,polivalente,hombre
ENEBE COMBAT CARBON 9.2 NARANJA,"125,95 €",enebe,"negro, azul",palas,medio,ultrasoft eva,No data,No data,principiante / intermedio,mate,lágrima,lisa,polivalente,hombre
ENEBE RSX AZUL,"64,95 €",No data,"negro, blanco, azul",palas,bajo,medium eva,fibra de vidrio,No data,principiante / intermedio,No data,redonda,rugosa,control,hombre
VIBOR-A TAIPAN LIQUID EDITION 2023,"189,95 €",vibor-a,"negro, blanco, rojo",palas,medio,soft eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,polivalente,hombre
ENEBE RESPONSE 24K,"210,95 €",enebe,rosa,No data,"alto, medio",black eva hr9,No data,media,avanzado / competición,No data,No data,lisa,polivalente,hombre
DUNLOP SPEED ATTACK 2.0,"91,95 €",dunlop,amarillo,palas,medio,eva,fibra de vidrio,media,principiante / intermedio,mate,redonda,rugosa,control,"hombre, mujer"
STARVIE AQUILA ULTRA SPEED SOFT 2024,"110,95 €",No data,amarillo,No data,alto,ultrasoft eva,No data,blanda,avanzado / competición,No data,lágrima,rugosa,polivalente,"hombre, mujer"
BLACK CROWN PITON ATTACK 15K POWER 2024,"174,95 €",black crown,negro,No data,medio,eva,"fibra de vidrio, carbono 15k",No data,avanzado / competición,No data,lágrima,rugosa,polivalente,hombre
ENEBE RS 9.1 ORANGE 2024,"82,95 €",enebe,naranja,palas,medio,No data,fibra de vidrio,media,principiante / intermedio,mate,No data,lisa,polivalente,hombre
STARVIE KENTA ETERNAL ULTRA SPEED SOFT 2024,"181,95 €",No data,"negro, gold",No data,bajo,supersoft eva,No data,blanda,principiante / intermedio,No data,redonda,rugosa,control,hombre
STARVIE TITANIA PRO 2024,"103,95 €",No data,"negro, rojo",No data,medio,eva,No data,media,principiante / intermedio,No data,redonda,rugosa,polivalente,hombre
VAIRO BLACK KARBON SPEED,"189,95 €",No data,negro,palas,medio,eva,No data,dura,avanzado / competición,mate,No data,lisa,polivalente,"hombre, mujer"
ENEBE RESPONSE FIBER BLUE,"111,95 €",enebe,rojo,No data,"alto, medio",black eva hr3,fibra de vidrio,media,avanzado / competición,mate,diamante,lisa,potencia,hombre
ENEBE MASSIVE ROJA 2024,"95,95 €",enebe,No data,No data,medio,black eva hr3,fibra de vidrio,media,principiante / intermedio,No data,No data,lisa,polivalente,hombre
VAIRO EVERLAST CONFORT,"174,95 €",No data,No data,palas,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
VAIRO GENETIC POWER,"144,95 €",No data,azul,palas,medio,"black eva, soft eva",No data,media,avanzado / competición,No data,redonda,rugosa,"control, potencia","hombre, mujer"
VAIRO EVERLAST SPEED,"174,95 €",No data,No data,palas,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
BULLPADEL HACK 03 FIP,"189,95 €",bullpadel,No data,palas,alto,multieva,No data,media,avanzado / competición,mate,diamante,lisa,potencia,hombre
SOFTEE WINNER PRO MAROON 2024,"111,95 €",softee,"negro, plateado",No data,medio,soft eva,No data,blanda,avanzado / competición,No data,lágrima,lisa,polivalente,hombre
SOFTEE SUMMIT 3.0 ORANGE POWER 2024,"174,95 €",softee,"negro, naranja",No data,alto,soft eva,No data,blanda,avanzado / competición,No data,No data,rugosa,polivalente,hombre
SOFTEE SPEED 3.0 YELLOW POWER 2024,"167,95 €",softee,"negro, amarillo",No data,medio,soft eva,No data,blanda,avanzado / competición,No data,lágrima,rugosa,polivalente,hombre
