Palas,Precio,Marca,Color,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Forma,Superficie,Tipo de Juego,Jugador
SALMING MAGICIAN S17 LTD,94.95,No data,"negro, blanco",medio,soft eva,No data,No data,avanzado,No data,lisa,No data,mixta
VAIRO ACROSS ORANGE SAND FINISH,64.95,No data,"negro, blanco, naranja",bajo,medium eva,fibra de vidrio,No data,principiante,redonda,rugosa,control,mixta
VAIRO ACROSS YELLOW SAND FINISH,64.95,No data,amarillo,bajo,medium eva,mix,media,principiante,redonda,rugosa,control,mixta
VAIRO TURBO COMFORT,119.95,No data,No data,alto,medium eva,No data,media,avanzado,lágrima,lisa,control,hombre
WILSON PRO STAFF V2 TEAM NEGRO ROJO,47.95,wilson,"negro, rojo",bajo,soft eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mixta
RS PADEL PRIME EDITION 2.0 AZUL OSCURO MUJER,94.95,No data,"blanco, azul marino",medio,medium eva,No data,No data,avanzado,lágrima,rugosa,No data,mujer
VARLION LW SUMMUM PRISMA MUJER,188.95,varlion,"negro, azul",medio,hard eva,No data,No data,avanzado,redonda,rugosa,control,mixta
SOFTEE EGON 2024,29.95,softee,negro,No data,soft eva,fibra de vidrio,blanda,principiante,redonda,lisa,control,hombre
SOFTEE SUMMIT 3.0 YELLOW POWER 2024,174.95,softee,"negro, amarillo",alto,soft eva,No data,blanda,avanzado,No data,rugosa,polivalente,hombre
BLACK CROWN PATRON EVOLUTION 2024,184.95,black crown,No data,medio,No data,No data,dura,avanzado,No data,rugosa,polivalente,hombre
BABOLAT DYNA ENERGY 2023,191.95,babolat,"blanco, rosa",medio,medium eva,mix,No data,principiante,lágrima,rugosa,polivalente,mujer
STARVIE ASTRUM 2024,172.95,No data,negro,medio,soft eva,No data,blanda,avanzado,redonda,rugosa,polivalente,hombre
PRINCE TOUR DI LEGEND,146.95,prince,"blanco, verde",medio,medium eva,No data,No data,avanzado,diamante,rugosa,No data,mixta
SOFTEE PRO MASTER EVOLUTION NARANJA,49.95,softee,"negro, naranja",medio,soft eva,fibra de vidrio,No data,avanzado,lágrima,lisa,No data,mixta
ENEBE AEROX CARBON 21,118.95,enebe,"negro, azul",medio,soft eva,No data,No data,avanzado,redonda,lisa,No data,hombre
MYSTICA LEGACY HYBRID ORANGE 2024,62.95,No data,"negro, rojo",medio,medium eva,fibra de vidrio,media,principiante,No data,lisa,polivalente,mixta
DROP SHOT CANYON SOFT,135.95,drop shot,"blanco, azul",No data,soft eva,No data,No data,pro,lágrima,lisa,No data,mixta
VAIRO ACROSS PINK SAND FINISH,64.95,No data,rosa,bajo,medium eva,mix,media,principiante,redonda,rugosa,control,mujer
VAIRO ACROSS ORANGE,64.95,No data,"negro, blanco, naranja",medio,medium eva,fibra de vidrio,No data,principiante,redonda,lisa,control,hombre
ENEBE AEROX 7.2 CARBON RELOADED 2024,151.95,enebe,"negro, blanco",medio,medium eva,No data,media,principiante,lágrima,lisa,polivalente,hombre
ENEBE COMBAT 7.1 RELOADED 2024,138.95,enebe,"negro, blanco, gold",medio,medium eva,No data,media,principiante,No data,lisa,polivalente,hombre
ENEBE RSX 7.1 CARBON RELOADED,151.95,enebe,rosa,medio,medium eva,No data,media,avanzado,lágrima,lisa,polivalente,mixta
VAIRO ACROSS YELLOW,64.95,No data,"negro, blanco, amarillo",medio,medium eva,fibra de vidrio,No data,principiante,redonda,lisa,polivalente,mixta
STARVIE AQUILA PRO 2024,110.95,enebe,"negro, naranja",medio,soft eva,No data,No data,avanzado,lágrima,lisa,No data,mixta
ENEBE SUPRA CARBON 21,107.95,No data,No data,alto,medium eva,No data,media,avanzado,lágrima,rugosa,polivalente,mixta
SOFTEE SPEED 3.0 ROYAL POWER 2024,167.95,softee,negro,medio,soft eva,No data,blanda,avanzado,lágrima,rugosa,potencia,hombre
SIUX LIBERTY CONTROL,99.95,siux,No data,bajo,medium eva,No data,media,principiante,redonda,rugosa,control,mixta
ENEBE NITRO RED 2024,59.95,enebe,negro,medio,medium eva,fibra de vidrio,media,principiante,redonda,lisa,control,hombre
ENEBE RESPONSE FIBER PURPLE,95.95,enebe,blanco,medio,medium eva,fibra de vidrio,media,principiante,No data,lisa,polivalente,mujer
SOFTEE SPEED GOLD POWER 3.0 2024,179.95,softee,"negro, gold",medio,soft eva,No data,media,avanzado,lágrima,rugosa,polivalente,hombre
VIBOR-A BELCHER CLASSIC FIBER 2024,82.95,vibor-a,"negro, azul",medio,medium eva,fibra de vidrio,blanda,principiante,redonda,lisa,control,hombre
STARVIE TITANIA ULTRA SPEED SOFT 2024,103.95,No data,"negro, rojo",medio,soft eva,fibra de vidrio,blanda,avanzado,redonda,rugosa,control,hombre
STARVIE RADAR 2024,123.95,No data,"negro, gris",medio,soft eva,fibra de vidrio,blanda,principiante,lágrima,lisa,polivalente,hombre
STARVIE HELION 2024,118.95,No data,"negro, naranja",medio,soft eva,fibra de vidrio,blanda,principiante,redonda,lisa,control,hombre
SOFTEE BLOQUER 2024,83.95,softee,negro,alto,medium eva,No data,media,principiante,No data,lisa,polivalente,hombre
SOFTEE FREEZER CARBON GREEN 2024,123.95,softee,negro,medio,medium eva,No data,media,principiante,lágrima,lisa,polivalente,hombre
STARVIE METHEORA 2024,169.95,No data,"negro, azul",bajo,soft eva,No data,blanda,avanzado,redonda,rugosa,control,hombre
SOFTEE POTENZA RAINBOW BLUE,95.95,softee,No data,medio,soft eva,No data,blanda,principiante,lágrima,lisa,polivalente,hombre
ROYAL PADEL M27 LIGHT 2024,245.95,royal padel,rosa,No data,No data,fibra de carbono,blanda,avanzado,redonda,rugosa,control,mujer
ROYAL PADEL R-LINE FURY 2024,246.95,royal padel,rojo,alto,medium eva,No data,media,avanzado,redonda,rugosa,polivalente,hombre
STAR VIE ASTRUM PRO,179.0,No data,blanco,medio,medium eva,No data,dura,avanzado,redonda,rugosa,polivalente,hombre
SIUX ULTRA PRO,349.0,siux,negro,medio,medium eva,No data,media,avanzado,No data,rugosa,polivalente,hombre
SIUX SPYDER LITE CTRL 3 HARD,229.0,siux,"negro, verde",bajo,hard eva,No data,dura,avanzado,redonda,lisa,control,hombre
PRINCE PADEL JET,211.95,prince,"negro, verde",alto,medium eva,No data,No data,avanzado,diamante,rugosa,No data,hombre
SALMING HERO S51 12K,114.95,No data,"negro, blanco",bajo,soft eva,No data,No data,avanzado,redonda,lisa,No data,mixta
SIUX STONE FORCE,99.0,siux,"negro, azul",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,control,mixta
SOFTEE WINNER PRO FUCSIA,125.95,softee,"negro, fucsia",No data,soft eva,No data,No data,avanzado,lágrima,lisa,No data,mixta
VAIRO ACROSS BLUE SAND FINISH,125.95,enebe,"negro, naranja",medio,medium eva,No data,No data,principiante,lágrima,rugosa,polivalente,hombre
ENEBE COMBAT CARBON 9.2 NARANJA,125.95,enebe,"negro, azul",medio,soft eva,No data,No data,principiante,lágrima,lisa,polivalente,hombre
ENEBE RSX AZUL,64.95,No data,"negro, blanco, azul",bajo,medium eva,fibra de vidrio,No data,principiante,redonda,rugosa,control,hombre
VIBOR-A TAIPAN LIQUID EDITION 2023,189.95,vibor-a,"negro, blanco, rojo",medio,soft eva,No data,No data,avanzado,lágrima,rugosa,polivalente,hombre
ENEBE RESPONSE 24K,210.95,enebe,rosa,No data,hard eva,No data,media,avanzado,No data,lisa,polivalente,hombre
DUNLOP SPEED ATTACK 2.0,91.95,dunlop,amarillo,medio,medium eva,fibra de vidrio,media,principiante,redonda,rugosa,control,mixta
STARVIE AQUILA ULTRA SPEED SOFT 2024,110.95,No data,amarillo,alto,soft eva,No data,blanda,avanzado,lágrima,rugosa,polivalente,mixta
BLACK CROWN PITON ATTACK 15K POWER 2024,174.95,black crown,negro,medio,medium eva,mix,No data,avanzado,lágrima,rugosa,polivalente,hombre
ENEBE RS 9.1 ORANGE 2024,82.95,enebe,naranja,medio,No data,fibra de vidrio,media,principiante,No data,lisa,polivalente,hombre
STARVIE KENTA ETERNAL ULTRA SPEED SOFT 2024,181.95,No data,"negro, gold",bajo,soft eva,No data,blanda,principiante,redonda,rugosa,control,hombre
STARVIE TITANIA PRO 2024,103.95,No data,"negro, rojo",medio,medium eva,No data,media,principiante,redonda,rugosa,polivalente,hombre
VAIRO BLACK KARBON SPEED,189.95,No data,negro,medio,medium eva,No data,dura,avanzado,No data,lisa,polivalente,mixta
ENEBE RESPONSE FIBER BLUE,111.95,enebe,rojo,No data,medium eva,fibra de vidrio,media,avanzado,diamante,lisa,potencia,hombre
ENEBE MASSIVE ROJA 2024,95.95,enebe,No data,medio,medium eva,fibra de vidrio,media,principiante,No data,lisa,polivalente,hombre
VAIRO EVERLAST CONFORT,174.95,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,mixta
VAIRO GENETIC POWER,144.95,No data,azul,medio,soft eva,No data,media,avanzado,redonda,rugosa,polivalente,mixta
VAIRO EVERLAST SPEED,174.95,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,mixta
BULLPADEL HACK 03 FIP,189.95,bullpadel,No data,alto,medium eva,No data,media,avanzado,diamante,lisa,potencia,hombre
SOFTEE WINNER PRO MAROON 2024,111.95,softee,"negro, plateado",medio,soft eva,No data,blanda,avanzado,lágrima,lisa,polivalente,hombre
SOFTEE SUMMIT 3.0 ORANGE POWER 2024,174.95,softee,"negro, naranja",alto,soft eva,No data,blanda,avanzado,No data,rugosa,polivalente,hombre
SOFTEE SPEED 3.0 YELLOW POWER 2024,167.95,softee,"negro, amarillo",medio,soft eva,No data,blanda,avanzado,lágrima,rugosa,polivalente,hombre
SOFTEE TRIONIC 2024,151.95,softee,naranja,medio,soft eva,No data,media,principiante,No data,rugosa,polivalente,hombre
ROYAL PADEL R30 GOLDEN WHITE PREMIER MENDOZA,288.95,royal padel,No data,alto,soft eva,fibra de vidrio,blanda,pro,diamante,lisa,polivalente,hombre
ROYAL PADEL RP 779 WHIP EVA 2024,181.95,royal padel,No data,alto,hard eva,fibra de vidrio,dura,avanzado,redonda,rugosa,potencia,hombre
SOFTEE WINNER STAR PRO,114.95,softee,"negro, plateado",No data,soft eva,No data,No data,avanzado,redonda,lisa,No data,mixta
SOFTEE SPEED 3.0 WOMAN POWER 2024,170.95,softee,negro,medio,soft eva,No data,blanda,avanzado,lágrima,rugosa,potencia,mujer
ROYAL PADEL WHIP HYBRID 2024,181.95,royal padel,No data,medio,foam,fibra de vidrio,media,avanzado,redonda,rugosa,polivalente,hombre
ENEBE RS 9.1 BLUE 2024,87.95,enebe,azul,medio,No data,fibra de vidrio,media,principiante,No data,lisa,polivalente,hombre
SIUX FENIX GO 4,174.99,siux,No data,alto,hard eva,No data,dura,principiante,No data,lisa,potencia,hombre
SOFTEE BEACH TENNIS COPACABANA,178.95,softee,"negro, naranja",alto,No data,No data,No data,principiante,No data,rugosa,potencia,mixta
PACK PALA BULLPADEL VERTEX LTD,116.95,bullpadel,No data,alto,hard eva,No data,dura,avanzado,diamante,rugosa,potencia,hombre
ADIDAS ADIPOWER MULTIWEIGHT CTRL 2023,184.6,adidas,"negro, naranja",medio,medium eva,No data,No data,avanzado,redonda,rugosa,polivalente,hombre
ORYGEN INTRUDER,15.95,orygen,"negro, rosa",bajo,foam,No data,blanda,principiante,redonda,lisa,No data,mixta
ADIDAS METALBONE 3.2 2023,199.95,adidas,"negro, blanco, rojo",medio,soft eva,No data,No data,avanzado,diamante,rugosa,control,hombre
NOX TEMPO WPT LUXURY SERIES 2022,109.95,nox,No data,medio,medium eva,No data,No data,pro,lágrima,rugosa,No data,hombre
PALA SIUX FENIX III JAVI RUIZ PRO,119.95,siux,"negro, naranja",medio,medium eva,No data,media,pro,No data,rugosa,polivalente,hombre
BULLPADEL HACK 03 CTR 2023,109.95,bullpadel,"negro, azul, plateado",bajo,medium eva,No data,No data,avanzado,redonda,lisa,control,mixta
BULLPADEL VERTEX 03 COMFORT 2023,98.95,bullpadel,"negro, plateado",alto,medium eva,mix,No data,avanzado,diamante,lisa,potencia,mixta
BULLPADEL HACK 03 COMFORT 23,105.95,bullpadel,"negro, gris",alto,medium eva,No data,No data,avanzado,diamante,rugosa,potencia,hombre
NOX ULTIMATE POWER LTD CARBON,112.95,nox,"blanco, gold",bajo,medium eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mixta
NOX ML10 PRO CUP CORP 2022,79.95,nox,"negro, blanco",alto,medium eva,No data,No data,avanzado,diamante,rugosa,potencia,mixta
ADIDAS ADIPOWER LIGHT 3.2 2023,129.95,adidas,"negro, blanco, multicolor",medio,soft eva,No data,No data,avanzado,lágrima,rugosa,polivalente,mujer
SIUX Genesis II LUCHO CAPRA PRO,99.95,siux,No data,medio,medium eva,No data,media,avanzado,No data,No data,polivalente,hombre
BABOLAT AIR VERON 2023,129.95,babolat,"negro, blanco, azul, rojo",alto,medium eva,mix,media,avanzado,No data,rugosa,potencia,hombre
NOX SHADOW POWER FIBER,86.95,nox,"negro, naranja",alto,medium eva,No data,No data,avanzado,diamante,rugosa,No data,mixta
BULLPADEL X-COMPACT 2 LTD ROSA,39.95,bullpadel,"negro, rosa",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
SIUX INSPIRE 4.0,54.95,siux,"negro, amarillo",medio,soft eva,fibra de vidrio,No data,avanzado,lágrima,lisa,No data,mixta
ADIDAS ADIPOWER CTRL 3.1 2022,139.95,adidas,"negro, naranja, azul",No data,hard eva,No data,No data,pro,redonda,rugosa,No data,hombre
HEAD GRAPHENE 360 ALPHA ULTIMATE,99.95,head,gris,medio,foam,fibra de vidrio,No data,avanzado,lágrima,lisa,No data,mixta
BULLPADEL X-COMPACT 2 LTD AMARILLO,39.95,bullpadel,"negro, amarillo",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
NOX LOAD ARENA,66.95,nox,"negro, gris",No data,medium eva,fibra de vidrio,No data,avanzado,redonda,rugosa,No data,mixta
NOX SHADOW DRIVE FIBER,86.95,nox,"negro, amarillo",alto,hard eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
BULLPADEL IONIC POWER 2022,87.95,bullpadel,"negro, verde",alto,medium eva,No data,No data,avanzado,diamante,rugosa,No data,mixta
ADIDAS ADIPOWER LIGHT 3.1 2022,136.11,adidas,"negro, blanco, verde",medio,soft eva,No data,No data,avanzado,redonda,rugosa,No data,mixta
BULLPADEL GOLD XSERIES 3.0,98.95,nox,azul,alto,soft eva,No data,No data,avanzado,diamante,rugosa,potencia,hombre
NOX X PRO,64.95,bullpadel,"naranja, morado",medio,soft eva,No data,No data,principiante,lágrima,lisa,No data,mujer
BULLPADEL LEGEND 4.0 WOMAN,69.95,siux,"negro, amarillo",medio,hard eva,No data,media,avanzado,No data,rugosa,polivalente,hombre
BULLPADEL INDIGA GIRL 2023,47.95,bullpadel,"negro, azul",bajo,soft eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mujer
NOX ML10 SHOTGUN LUXURY SERIES 23,219.95,nox,"negro, rojo",alto,medium eva,No data,No data,avanzado,diamante,rugosa,potencia,mixta
DUNLOP EXPLOSIVE PRO LTD LIMA,49.95,dunlop,"negro, azul, lima",medio,foam,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
SIUX FENIX PRO 4,295.0,siux,No data,alto,hard eva,No data,dura,pro,diamante,rugosa,potencia,hombre
NOX ML10 PRO CUP BLACK EDITION 2022,99.95,nox,"negro, gold",bajo,medium eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mixta
HEAD GRAVITY PRO 2022,114.95,head,"negro, azul, rosa",No data,foam,No data,No data,avanzado,redonda,lisa,No data,mixta
BULLPADEL SKY POWER,79.95,bullpadel,"negro, verde",No data,soft eva,fibra de vidrio,No data,principiante,diamante,lisa,No data,mixta
NOX LOAD 3D,66.95,nox,"negro, gris",medio,medium eva,fibra de vidrio,No data,avanzado,lágrima,rugosa,control,mixta
ADIDAS ADIPOWER SOFT 2.0,121.0,adidas,No data,alto,soft eva,No data,media,pro,diamante,lisa,potencia,hombre
BULLPADEL HACK WOMAN,109.95,bullpadel,"negro, rosa",bajo,medium eva,No data,media,avanzado,redonda,rugosa,control,mujer
WILSON BELA LT V2 BLANCO,159.95,wilson,blanco,alto,soft eva,No data,No data,avanzado,diamante,rugosa,potencia,mixta
ADIDAS ADIPOWER W TEAM MUJER 2023,105.95,adidas,"negro, multicolor",bajo,soft eva,fibra de vidrio,No data,avanzado,lágrima,rugosa,control,mujer
ADIDAS ADIPOWER MULTIWEIGHT MASTER LTD 2023,239.95,adidas,No data,alto,hard eva,No data,media,avanzado,redonda,rugosa,polivalente,hombre
DUNLOP SKIN CONTROL,171.95,dunlop,"negro, gris, azul",medio,soft eva,No data,No data,principiante,lágrima,lisa,No data,mixta
DUNLOP SKIN ATTACK,59.95,dunlop,"negro, amarillo, azul",medio,medium eva,No data,No data,principiante,lágrima,lisa,No data,mixta
BULLPADEL AXYM WOMAN 2022,63.95,bullpadel,"gold, verde",medio,soft eva,mix,No data,avanzado,lágrima,rugosa,No data,mujer
WILSON BLADE PRO PADEL V2 2 NEGRO DORADO,202.95,wilson,"negro, gold",No data,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
HEAD SPEED PRO 2023,139.95,head,"negro, gris",alto,foam,fibra de vidrio,No data,avanzado,lágrima,lisa,potencia,hombre
HEAD FLASH 2023 VERDE MORADO,65.95,head,No data,medio,foam,fibra de vidrio,blanda,principiante,lágrima,lisa,polivalente,hombre
NOX SILHOUTTE 6 LADY,54.95,nox,"negro, fucsia",bajo,hard eva,No data,dura,principiante,redonda,lisa,polivalente,mujer
VARLION MAXIMA SUMMUM PRISMA HUMAN PADEL OPEN,204.95,varlion,"gris, azul, rojo",medio,soft eva,No data,No data,pro,lágrima,lisa,No data,hombre
HEAD CHALLENGE AMARILLO VERDE,72.95,head,"negro, amarillo, verde",medio,foam,fibra de vidrio,No data,principiante,lágrima,lisa,No data,mixta
HEAD CALIBRE NARANJA,44.95,head,"negro, naranja",medio,foam,fibra de vidrio,No data,principiante,lágrima,lisa,No data,hombre
ADIDAS CROSS IT LIGHT 2024,169.95,adidas,"gris, azul",bajo,medium eva,No data,media,avanzado,redonda,rugosa,control,mujer
STAR VIE BASALTO CARBON ORO,99.95,No data,"negro, gold",medio,soft eva,No data,No data,avanzado,redonda,rugosa,No data,mixta
BULLPADEL VERTEX 04 MASTER FINAL 2023,244.95,bullpadel,No data,alto,medium eva,No data,media,avanzado,diamante,rugosa,potencia,hombre
STAR VIE BASALTO OSIRIS,119.95,No data,"negro, amarillo",alto,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
DUNLOP IMPACT CARBON PRO LTD NARANJA,69.95,dunlop,"negro, gris, naranja",medio,medium eva,fibra de vidrio,No data,avanzado,No data,rugosa,polivalente,mixta
ADIDAS X-TREME NEGRO BLANCO,49.95,adidas,"negro, blanco",bajo,soft eva,fibra de vidrio,No data,avanzado,redonda,rugosa,No data,mixta
STAR VIE AQUILA SPACE,119.95,No data,"negro, amarillo, azul",alto,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
WINGPADEL AIR TORNADO ATTK 4.0 3K,51.95,wingpadel,"negro, rojo, verde",No data,soft eva,No data,No data,avanzado,diamante,lisa,potencia,hombre
HEAD EVO SPEED 2023,45.95,head,"negro, azul",bajo,foam,fibra de vidrio,No data,principiante,lágrima,lisa,control,mixta
NOX MP10 GEM ATOMIKAS 23,108.95,nox,"negro, multicolor",bajo,medium eva,No data,No data,avanzado,redonda,rugosa,polivalente,mixta
DUNLOP SAMURAI,49.95,dunlop,"negro, gris, azul",medio,soft eva,No data,No data,principiante,lágrima,lisa,No data,mixta
HEAD FLASH 2023,54.95,head,"negro, marrón",medio,foam,fibra de vidrio,dura,principiante,lágrima,No data,polivalente,hombre
ADIDAS ADIPOWER 3.1 2022,148.95,adidas,"negro, amarillo, azul",alto,medium eva,No data,No data,avanzado,diamante,rugosa,No data,hombre
ADIDAS ADIPOWER CTRL 3.0,119.95,adidas,"negro, blanco, naranja",medio,medium eva,No data,No data,pro,redonda,rugosa,No data,mixta
NOX ML10 LIMITED EDITION 2023,184.95,nox,"negro, gris",bajo,medium eva,No data,media,avanzado,redonda,rugosa,control,hombre
PALA SIUX SUBZERO 3,99.95,siux,"negro, rojo",alto,soft eva,No data,No data,avanzado,diamante,rugosa,potencia,hombre
NOX ATTRACTION WPT ADVANCED SERIES 2022,87.95,nox,"negro, amarillo",alto,medium eva,fibra de vidrio,No data,avanzado,diamante,rugosa,No data,hombre
ADIDAS METALBONE 3.3 2024,239.95,adidas,negro,alto,soft eva,No data,blanda,avanzado,diamante,rugosa,potencia,hombre
DUNLOP EXPLOSIVE PRO LTD AZUL,64.95,dunlop,"negro, azul, verde",medio,foam,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
WILSON ULTRA TEAM V2,54.95,wilson,"negro, azul",alto,medium eva,fibra de vidrio,No data,avanzado,diamante,lisa,No data,mixta
BABOLAT TECHNICAL VERTUO 2022,85.95,babolat,rojo,alto,medium eva,fibra de vidrio,No data,avanzado,diamante,rugosa,No data,hombre
WILSON BELA TEAM PADEL 2,88.95,wilson,"negro, rojo",alto,medium eva,fibra de vidrio,No data,avanzado,diamante,lisa,No data,mixta
DUNLOP RENEGADE SOFT,49.95,dunlop,"negro, gris, rosa",bajo,soft eva,No data,No data,principiante,redonda,lisa,No data,mixta
ADIDAS PRO CARBON CTRL GOLD,110.95,adidas,"negro, gold",bajo,soft eva,No data,No data,avanzado,redonda,lisa,No data,mixta
NOX ML 10 PRO CUP SILVER,87.95,nox,"blanco, rosa",medio,medium eva,fibra de vidrio,No data,avanzado,redonda,lisa,polivalente,hombre
BULLPADEL AXYM DB 2022,69.95,bullpadel,"rojo, plateado",medio,soft eva,mix,No data,avanzado,lágrima,rugosa,No data,mixta
STAR VIE TITANIA KEPLER,69.95,No data,"negro, azul, rojo",medio,soft eva,fibra de vidrio,No data,avanzado,redonda,rugosa,No data,mixta
BULLPADEL SKY AMARILLO,35.95,bullpadel,"negro, amarillo",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
STAR VIE ICARUS,39.95,No data,"negro, gris",medio,soft eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mixta
DUNLOP IMPACT CARBON PRO LTD VERDE,44.95,dunlop,"negro, gris, verde",medio,medium eva,fibra de vidrio,No data,avanzado,No data,rugosa,polivalente,mixta
SIUX ELECTRA ST2 HYBRID,139.95,siux,"negro, azul",medio,medium eva,No data,media,avanzado,No data,rugosa,polivalente,hombre
VIBOR-A KING COBRA BLACK 1K,135.95,vibor-a,"negro, rojo",alto,soft eva,No data,No data,avanzado,diamante,rugosa,No data,mixta
WILSON BLADE PRO PADEL V2 2 NEGRO VERDE,165.95,wilson,"negro, verde",No data,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
BULLPADEL SKY ROSA,55.95,bullpadel,"negro, rosa",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,No data,mixta
NOX MJ10 GEM ATOMIKAS 23,109.95,nox,"negro, naranja, azul",medio,medium eva,No data,No data,avanzado,lágrima,rugosa,polivalente,mixta
SIUX SUBZERO 2.0,99.95,siux,"negro, rojo",medio,medium eva,No data,No data,avanzado,diamante,rugosa,No data,mixta
VIBOR-A YARARA BLACK SERIES 1K,99.95,vibor-a,"negro, gold",medio,medium eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
STAR VIE DRONOS GALAXY,125.95,No data,"negro, morado",medio,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
BLACK CROWN PITON 8.0,79.95,black crown,"rojo, plateado",medio,medium eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mixta
WINGPADEL AIR FORCE 3.0 CTRL,64.95,wingpadel,"negro, gold, rojo",medio,soft eva,No data,No data,avanzado,redonda,rugosa,No data,mixta
DUNLOP INFERNO ELITE LTD AMARILLO AZUL,64.95,dunlop,"negro, amarillo, azul",medio,medium eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
BULLPADEL BLACK DRAGON 4.0,69.95,bullpadel,"negro, amarillo",bajo,soft eva,fibra de vidrio,No data,avanzado,redonda,rugosa,No data,mixta
PALA SIUX INVICTA,78.95,siux,"negro, azul",alto,soft eva,No data,No data,principiante,diamante,No data,potencia,hombre
PALA SIUX ANDROID,64.95,siux,"negro, amarillo",medio,soft eva,fibra de vidrio,No data,principiante,No data,lisa,polivalente,hombre
WINGPADEL AIR COMBAT 3.0 ATTACK,50.95,wingpadel,negro,alto,soft eva,No data,No data,avanzado,diamante,lisa,No data,mixta
PALA SIUX SX7,49.95,siux,"negro, rojo",bajo,soft eva,fibra de vidrio,No data,principiante,redonda,lisa,control,hombre
STAR VIE RAPTOR 2022,124.95,No data,No data,medio,soft eva,No data,No data,avanzado,redonda,rugosa,No data,mixta
BULLPADEL IONIC LIGHT 24,98.95,bullpadel,azul,medio,medium eva,mix,media,principiante,lágrima,rugosa,polivalente,mixta
BLACK CROWN HURRICANE PRO 2022,199.95,black crown,No data,No data,soft eva,No data,No data,avanzado,redonda,rugosa,No data,mujer
HEAD FLASH 2023 ROJO NEGRO,89.95,head,No data,medio,medium eva,fibra de vidrio,media,principiante,lágrima,lisa,potencia,hombre
BULLPADEL LEGEND 4.0,69.95,bullpadel,"negro, naranja",bajo,soft eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mixta
WILSON BLADE ELITE V2 PADEL,84.95,wilson,"negro, verde",No data,soft eva,mix,No data,avanzado,lágrima,rugosa,No data,mixta
ADIDAS X-TREME ORANGE BLACK,59.95,adidas,"negro, naranja",bajo,soft eva,fibra de vidrio,No data,avanzado,redonda,rugosa,control,mixta
SIUX TRILOGY CONTROL PRO 4,295.0,siux,"negro, verde",bajo,medium eva,No data,media,pro,redonda,rugosa,control,hombre
SIUX EVOQUE 3,89.95,siux,"negro, verde",medio,soft eva,No data,blanda,principiante,No data,lisa,polivalente,hombre
BLACK CROWN PITON NAKANO SOFT,69.95,black crown,"negro, morado",No data,soft eva,fibra de vidrio,No data,avanzado,redonda,lisa,No data,mujer
NOX X-ONE C.6,49.95,nox,negro,medio,hard eva,fibra de vidrio,dura,principiante,redonda,rugosa,polivalente,hombre
SIUX RADICAL PRO IV,59.95,siux,"negro, verde",alto,soft eva,No data,No data,avanzado,diamante,rugosa,No data,mixta
RS PRIME CONTROL EDITION 2.0,224.95,No data,"negro, blanco",medio,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,hombre
PALA SIUX OPTIMUS 5,49.95,siux,"negro, naranja",medio,soft eva,fibra de vidrio,No data,principiante,No data,lisa,polivalente,mixta
RS PRO EDITION POWER,269.95,No data,"negro, blanco, gold",alto,medium eva,No data,No data,avanzado,lágrima,rugosa,potencia,hombre
VARLION BOURNE CARBON TITAN,79.95,varlion,"gris, naranja",medio,medium eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
BULLPADEL K2 POWER 2024,52.95,bullpadel,"negro, azul",alto,soft eva,No data,No data,avanzado,diamante,lisa,potencia,hombre
BULLPADEL HACK 02 21 RD,134.95,bullpadel,"negro, naranja",alto,medium eva,No data,media,pro,No data,lisa,polivalente,hombre
STAR VIE PRODIGY 24K,175.95,No data,"negro, amarillo",No data,medium eva,No data,No data,avanzado,redonda,lisa,No data,mixta
SIUX PEGASUS REVOLUTION 12K,129.95,siux,"negro, rojo",medio,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
BULLPADEL HACK 03 MASTER FINAL 23,244.95,bullpadel,negro,alto,medium eva,No data,media,avanzado,diamante,lisa,potencia,hombre
